participant,d_age,d_gender,d_vr_experience,d_vis_impairment,walking_condition,walking_time,walking_score,joystick_condition,joystick_time,joystick_score,joystick_feedback,j_clarity,j_difficulty,j_navigation,j_recall_time,j_strategy,walking_feedback,w_clarity,w_difficulty,w_navigation,w_memory_time,w_strategy,p_begin,p_q1,p_q2,p_q3,p_q4,p_q5,p_q6,p_q7,p_q8,p_q9,p_q10,p_q11,presence_overall,v_begin,v_questions,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.70efff8b-5c48-4281-ac88-7d07c2d6f8c8.txt,11330,11330,8122,14072,"","","",419720,14126,14126,109247,109247,109247,109247,109247,109247,"","","","","","",100413,100413,100413,100413,100413,100413,100413,100413,100413,100413,100413,100413,"",40150,40150,0,2024-09-23-19-58,2024-10-23-16-28,2024-10-23-16-40,12,2
s.65dbcefb-afa4-414e-acaf-d3ca32a74d8f.txt,11305,11305,6448,10002,403982,229753,229753,"","","","","","","","","",146584,146584,146584,146584,146584,146584,107027,107027,107027,107027,107027,107027,107027,107027,107027,107027,107027,107027,"",35817,35817,0,2024-09-24-21-08,2024-10-24-17-38,2024-10-24-17-54,16,1
s.9e47b9e0-2f23-4074-b4b3-75de60adeb89.txt,10371,10371,6531,23197,352273,55279,55279,"","","","","","","","","",117435,117435,117435,117435,117435,117435,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,64847,"",20424,20424,0,2024-09-24-20-06,2024-10-24-16-36,2024-10-24-16-47,11,1
s.a3322f72-0937-446c-9173-51901bba8bcb.txt,7636,7636,4051,3502,472980,12026,12026,"","","","","","","","","",194861,194861,194861,194861,194861,194861,96223,96223,96223,96223,96223,96223,96223,96223,96223,96223,96223,96223,"",63831,63831,0,2024-09-24-23-41,2024-10-24-20-11,2024-10-24-20-25,14,1
s.856ff9b6-72bb-4a79-bfe9-48e092cddba3.txt,11846,11846,12285,23121,471624,12199,12199,"","","","","","","","","",153103,153103,153103,153103,153103,153103,197107,197107,197107,197107,197107,197107,197107,197107,197107,197107,197107,197107,"",27628,27628,0,2024-09-23-21-43,2024-10-23-18-13,2024-10-23-18-29,16,1
s.a2ad0cfb-be09-43ea-a2d1-11965556b6a0.txt,9832,9832,6201,3869,"","","",295512,17810,17810,158725,158725,158725,158725,158725,158725,"","","","","","",105523,105523,105523,105523,105523,105523,105523,105523,105523,105523,105523,105523,"",53948,53948,0,2024-09-24-20-32,2024-10-24-17-02,2024-10-24-17-14,12,2
s.7a876f5b-4ca3-4bfb-b695-1eb8406ff965.txt,6110,6110,9204,13744,"","","",747933,7683,7683,114008,114008,114008,114008,114008,114008,"","","","","","",68235,68235,68235,68235,68235,68235,68235,68235,68235,68235,68235,68235,"",52745,52745,0,2024-09-23-23-34,2024-10-23-20-04,2024-10-23-20-21,17,2
s.6d962114-be55-4c32-a8bf-6491b0f23ccf.txt,35879,35879,4987,22532,"","","",518154,76935,76935,99105,99105,99105,99105,99105,99105,"","","","","","",86372,86372,86372,86372,86372,86372,86372,86372,86372,86372,86372,86372,"",51220,51220,0,2024-09-24-22-20,2024-10-24-18-50,2024-10-24-19-05,15,2
s.118a43fc-d6f7-45a3-8f48-08426f9a57d5.txt,13038,13038,13903,14734,"","","",490097,83769,83769,128940,128940,128940,128940,128940,128940,"","","","","","",95765,95765,95765,95765,95765,95765,95765,95765,95765,95765,95765,95765,"",62008,62008,0,2024-09-24-21-35,2024-10-24-18-05,2024-10-24-18-20,15,2
s.bfeed3ca-363d-4e85-8e19-d6620daeebb0.txt,9628,9628,9439,50297,260255,170480,170480,"","","","","","","","","",170759,170759,170759,170759,170759,170759,136552,136552,136552,136552,136552,136552,136552,136552,136552,136552,136552,136552,"",47169,47169,0,2024-09-23-20-43,2024-10-23-17-13,2024-10-23-17-27,14,1
